descar
id
city
country
"meal,_inexpensive_restaurant_(usd)"
"meal_for_2_people,_mid-range_restaurant,_three-course_(usd)"
mcmeal_at_mcdonalds_(or_equivalent_combo_meal)_(usd)
"domestic_beer_(0.5_liter_draught,_in_restaurants)_(usd)"
"imported_beer_(0.33_liter_bottle,_in_restaurants)_(usd)"
"cappuccino_(regular,_in_restaurants)_(usd)"
"coke/pepsi_(0.33_liter_bottle,_in_restaurants)_(usd)"
"water_(0.33_liter_bottle,_in_restaurants)_(usd)"
"milk_(regular),_(1_liter)_(usd)"
loaf_of_fresh_white_bread_(500g)_(usd)
"rice_(white),_(1kg)_(usd)"
eggs_(regular)_(12)_(usd)
local_cheese_(1kg)_(usd)
chicken_fillets_(1kg)_(usd)
beef_round_(1kg)_(or_equivalent_back_leg_red_meat)_(usd)
apples_(1kg)_(usd)
banana_(1kg)_(usd)
oranges_(1kg)_(usd)
tomato_(1kg)_(usd)
potato_(1kg)_(usd)
onion_(1kg)_(usd)
lettuce_(1_head)_(usd)
"water_(1.5_liter_bottle,_at_the_market)_(usd)"
"bottle_of_wine_(mid-range,_at_the_market)_(usd)"
"domestic_beer_(0.5_liter_bottle,_at_the_market)_(usd)"
"imported_beer_(0.33_liter_bottle,_at_the_market)_(usd)"
cigarettes_20_pack_(marlboro)_(usd)
one-way_ticket_(local_transport)_(usd)
monthly_pass_(regular_price)_(usd)
taxi_start_(normal_tariff)_(usd)
taxi_1km_(normal_tariff)_(usd)
taxi_1hour_waiting_(normal_tariff)_(usd)
gasoline_(1_liter)_(usd)
volkswagen_golf_1.4_90_kw_trendline_(or_equivalent_new_car)_(usd)
toyota_corolla_sedan_1.6l_97kw_comfort_(or_equivalent_new_car)_(usd)
"basic_(electricity,_heating,_cooling,_water,_garbage)_for_85m2_apartment_(usd)"
1_min._of_prepaid_mobile_tariff_local_(no_discounts_or_plans)_(usd)
"internet_(60_mbps_or_more,_unlimited_data,_cable/adsl)_(usd)"
"fitness_club,_monthly_fee_for_1_adult_(usd)"
tennis_court_rent_(1_hour_on_weekend)_(usd)
"cinema,_international_release,_1_seat_(usd)"
"preschool_(or_kindergarten),_full_day,_private,_monthly_for_1_child_(usd)"
"international_primary_school,_yearly_for_1_child_(usd)"
1_pair_of_jeans_(levis_501_or_similar)_(usd)
"1_summer_dress_in_a_chain_store_(zara,_h&m,_…)_(usd)"
1_pair_of_nike_running_shoes_(mid-range)_(usd)
1_pair_of_men_leather_business_shoes_(usd)
apartment_(1_bedroom)_in_city_centre_(usd)
apartment_(1_bedroom)_outside_of_centre_(usd)
apartment_(3_bedrooms)_in_city_centre_(usd)
apartment_(3_bedrooms)_outside_of_centre_(usd)
price_per_square_meter_to_buy_apartment_in_city_centre_(usd)
price_per_square_meter_to_buy_apartment_outside_of_centre_(usd)
average_monthly_net_salary_(after_tax)_(usd)
"mortgage_interest_rate_in_percentages_(%),_yearly,_for_20_years_fixed-rate"
data_quality
